"div","lon","lat"
"SKT",127.0574661,37.4818898
"SKT",127.0689523,37.4897723
"SKT",127.0516374,37.4788183
"SKT",127.028461,37.5115706
"SKT",127.037213,37.517342
"SKT",127.0566765,37.4931401
"SKT",127.0642072,37.5022848
"SKT",127.0577874,37.499866
"SKT",127.0387883,37.4885147
"SKT",127.0464338,37.4837425
"SKT",127.04595,37.5112
"SKT",127.1069322,37.4690635
"SKT",127.1049103,37.4889102
"SKT",127.0227814,37.5240101
"SKT",127.030713,37.530642
"SKT",127.0333574,37.4954841
"SKT",127.0468034,37.4959674
"SKT",127.0879629,37.491839
"SKT",127.0737224,37.4922048
"SKT",127.0864633,37.4833485
"SKT",127.0493,37.5251083
"KT",127.0540445,37.52052897
"KT",127.0669398,37.50001348
"KT",127.0357833,37.52729298
"KT",127.0410313,37.49393789
"KT",127.0464205,37.519128
"KT",127.026214,37.497742
"KT",127.029331,37.498251
"KT",127.050539,37.504728
"KT",127.022059,37.517435
"KT",127.061086,37.511989
"KT",127.0422041,37.51628601
"SKT",127.0422835,37.5163931
"SKT",127.1054661,37.488805
"SKT",127.107019,37.48696465
"LGU+",127.0516077,37.51698596
"LGU+",127.0746666,37.49234151
"LGU+",127.0543227,37.5032219
"LGU+",127.1192729,37.47058113
"SKT",127.0934479,37.48472679
"LGU+",127.07517,37.49256193
"SKT",127.020569,37.518774
"SKT",127.023881,37.509119
"SKT",127.057737,37.522519
"SKT",127.036454,37.502244
"SKT",127.0365098,37.5023604
"SKT",127.0470764,37.5035372
"SKT",127.037681,37.502643
"SKT",127.022265,37.52322
"SKT",127.02268,37.51769
"SKT",127.022833,37.519982
"SKT",127.022906,37.521731
"SKT",127.02479,37.518161
"SKT",127.0263906,37.501621
"SKT",127.0274025,37.4993634
"SKT",127.027259,37.499329
"SKT",127.029431,37.494801
"SKT",127.037426,37.4991554
"SKT",127.037525,37.499263
"SKT",127.042229,37.50435
"SKT",127.026653,37.521816
"SKT",127.052964,37.480739
"SKT",127.069682,37.496167
"SKT",127.027691,37.523029
"SKT",127.028525,37.523261
"SKT",127.058061,37.489346
"SKT",127.059926,37.493968
"SKT",127.078301,37.495826
"SKT",127.082281,37.491874
"LGU+",127.050684,37.503111
"LGU+",127.051855,37.503561
"SKT",127.035105,37.523649
"SKT",127.041516,37.523269
"SKT",127.04464,37.523665
"SKT",127.046324,37.485177
"SKT",127.048274,37.505632
"SKT",127.062983,37.510033
"SKT",127.06402,37.509354
"SKT",127.0606,37.50742
"SKT",127.032908,37.524335
"SKT",127.052619,37.525616
"SKT",127.050313,37.504656
"SKT",127.0475987,37.5044788
"SKT",127.0504,37.505463
"SKT",127.052674,37.505909
"SKT",127.03397,37.5284
"SKT",127.033209,37.526433
"SKT",127.025432,37.523258
"SKT",127.025799,37.522733
